Intern_ID,Technical_Score,Project_Completion_Rate,Attendance_Punctuality,Soft_Skills_Rating,Code_Review_Score,Prior_Experience_Months,Education_Level,Placed_Or_HighPerformer
ZYN-2026-001,76.8,89.0,100.0,3.2,6.8,6,Undergrad,0
ZYN-2026-002,98.3,77.7,100.0,4.1,5.7,6,Grad,1
ZYN-2026-003,85.3,89.1,88.3,3.4,8.6,1,Undergrad,1
ZYN-2026-004,63.9,95.3,80.5,3.8,8.9,4,Undergrad,1
ZYN-2026-005,59.4,91.8,92.6,4.2,4.2,2,High_School,1
ZYN-2026-006,78.9,88.1,81.2,3.8,5.7,4,High_School,1
ZYN-2026-007,53.5,94.8,100.0,3.5,4.8,6,High_School,0
ZYN-2026-008,97.6,96.0,89.4,3.7,6.2,5,Grad,1
ZYN-2026-009,88.5,98.6,84.3,3.7,7.1,5,Undergrad,1
ZYN-2026-010,65.4,89.8,89.8,3.5,4.9,11,Undergrad,1
ZYN-2026-011,48.0,80.0,74.5,3.6,5.7,2,High_School,1
ZYN-2026-012,91.0,83.8,78.3,5.0,5.6,6,Grad,1
ZYN-2026-013,70.4,96.5,100.0,4.2,7.5,5,Grad,1
ZYN-2026-014,89.3,72.2,81.4,3.6,7.3,3,Undergrad,1
ZYN-2026-015,49.7,86.4,77.5,4.4,6.0,4,High_School,0
ZYN-2026-016,63.6,77.3,93.4,3.5,7.5,10,High_School,1
ZYN-2026-017,72.1,82.3,99.9,4.7,6.3,1,Undergrad,1
ZYN-2026-018,72.7,97.3,95.2,4.1,6.8,8,Undergrad,1
ZYN-2026-019,65.7,84.3,98.0,3.7,9.9,3,Undergrad,1
ZYN-2026-020,80.7,82.6,80.4,4.2,9.3,5,Undergrad,1
ZYN-2026-021,57.1,65.7,73.8,2.5,5.1,4,Undergrad,0
ZYN-2026-022,70.0,91.0,100.0,2.9,8.5,11,High_School,1
ZYN-2026-023,73.7,89.7,84.8,2.8,8.5,3,Undergrad,1
ZYN-2026-024,79.2,100.0,85.5,3.9,5.4,4,Undergrad,0
ZYN-2026-025,82.0,78.3,100.0,5.0,8.5,3,Undergrad,1
ZYN-2026-026,56.3,84.6,93.6,5.0,9.7,3,Grad,1
ZYN-2026-027,50.5,85.0,92.6,4.3,5.4,8,High_School,0
ZYN-2026-028,89.9,100.0,100.0,4.2,5.7,1,Undergrad,1
ZYN-2026-029,76.7,80.9,81.6,2.4,8.8,5,Undergrad,1
ZYN-2026-030,61.5,85.3,97.3,3.4,7.6,7,High_School,0
ZYN-2026-031,93.7,89.3,88.6,3.2,8.1,3,Undergrad,0
ZYN-2026-032,73.6,84.2,90.7,3.3,7.7,7,High_School,1
ZYN-2026-033,88.5,76.6,100.0,3.7,7.8,5,High_School,1
ZYN-2026-034,72.9,84.3,93.1,3.4,5.1,7,Grad,1
ZYN-2026-035,100.0,94.9,93.4,2.2,8.9,5,Grad,1
ZYN-2026-036,96.6,69.7,98.7,4.4,9.1,7,Grad,1
